counselling_type,year,round,institute,academic_program,quota,seat_type,gender,opening_rank_raw,closing_rank_raw,opening_rank,closing_rank,source_label,source_url
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1015,1015,1015,1015,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3866,5807,3866,5807,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9845,11841,9845,11841,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,43,43,43,43,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,705,801,705,801,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1745,1745,1745,1745,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1553,2074,1553,2074,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3745,4475,3745,4475,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,946,1187,946,1187,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1273,1273,1273,1273,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
